"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Brandon Aubrey",DAL,"10","5 out of 5 stars","0"
"2",1,"Cameron Dicker",LAC,"12","3 out of 5 stars","0"
"3",1,"Jake Bates",DET,"8","4 out of 5 stars","0"
"4",2,"Wil Lutz",DEN,"12","3 out of 5 stars","+11"
"5",2,"Chase McLaughlin",TB,"9","3 out of 5 stars","-1"
"6",2,"Ka'imi Fairbairn",HOU,"6","2 out of 5 stars","-1"
"7",2,"Chris Boswell",PIT,"5","4 out of 5 stars","0"
"8",2,"Harrison Butker",KC,"10","4 out of 5 stars","0"
"9",2,"Evan McPherson",CIN,"10","4 out of 5 stars","+4"
"10",3,"Tyler Bass",BUF,"7","4 out of 5 stars","-4"
"11",3,"Matt Gay",FA,"-","-","+3"
"12",3,"Jake Elliott",PHI,"9","4 out of 5 stars","-3"
"13",3,"Tyler Loop",BAL,"7","3 out of 5 stars","-2"
"14",3,"Younghoe Koo",NYG,"14","4 out of 5 stars","-2"
"15",3,"Will Reichard",MIN,"6","4 out of 5 stars","+5"
"16",4,"Cam Little",JAC,"8","2 out of 5 stars","-6"
"17",4,"Joshua Karty",LAR,"8","2 out of 5 stars","+4"
"18",4,"Daniel Carlson",LV,"8","2 out of 5 stars","-1"
"19",4,"Brandon McManus",GB,"5","5 out of 5 stars","0"
"20",4,"Jason Myers",SEA,"8","3 out of 5 stars","+8"
"21",4,"Jake Moody",WAS,"12","4 out of 5 stars","-3"
"22",4,"Cairo Santos",CHI,"5","5 out of 5 stars","0"
"23",4,"Jason Sanders",MIA,"12","4 out of 5 stars","-7"
"24",4,"Chad Ryland",ARI,"8","1 out of 5 stars","-1"
"25",4,"Graham Gano",NYG,"14","4 out of 5 stars","0"
"26",4,"Blake Grupe",IND,"11","2 out of 5 stars","+1"
"27",5,"Spencer Shrader",IND,"11","2 out of 5 stars","+2"
"28",5,"Andy Borregales",NE,"14","5 out of 5 stars","-2"
"29",5,"Nick Folk",NYJ,"9","3 out of 5 stars","+5"
"30",5,"Joey Slye",TEN,"10","1 out of 5 stars","0"
"31",5,"Ryan Fitzgerald",CAR,"14","3 out of 5 stars","+2"
"32",5,"Andre Szmyt",CLE,"9","4 out of 5 stars","0"
"33",6,"Justin Tucker",FA,"-","-","-9"
"34",6,"Matthew Wright",FA,"-","-","+3"
"35",6,"Riley Patterson",MIA,"12","4 out of 5 stars","+11"
"36",6,"Dustin Hopkins",FA,"-","-","-5"
"37",6,"Eddy Pineiro",SF,"14","2 out of 5 stars","+12"
"38",6,"Matt Prater",BUF,"7","4 out of 5 stars","+15"
"39",6,"Harrison Mevis",LAR,"8","2 out of 5 stars","-1"
"40",6,"Parker Romo",FA,"-","-","+1"
"41",6,"Caden Davis",FA,"-","-","-6"
"42",6,"Mark McNamee",FA,"-","-","-2"
"43",6,"Jude McAtamney",FA,"-","-","-7"
"44",6,"Greg Zuerlein",FA,"-","-","0"
"45",6,"Andrew Wellock",CAR,"14","3 out of 5 stars","-"
"46",6,"Anders Carlson",FA,"-","-","-4"
"47",6,"Greg Joseph",FA,"-","-","-8"